original_field_name,choice_value,export_field_name
mpif_pathology_acquisition_location,,mpif_pathology_acquisition_location
mpif_pathology_probes,1,mpif_pathology_probes___1
mpif_pathology_probes,2,mpif_pathology_probes___2
mpif_pathology_device_model,,mpif_pathology_device_model
mpif_pathology_device_channels,,mpif_pathology_device_channels
mpif_pathology_comments,,mpif_pathology_comments
mpif_pathology_file_path,,mpif_pathology_file_path
pathology_mpif_complete,,pathology_mpif_complete
ct_radiologist_name,,ct_radiologist_name
ct_accession_number,,ct_accession_number
ct_acquisition_date,,ct_acquisition_date
ct_acquisition_location,,ct_acquisition_location
ct_order_group,,ct_order_group
ct_region,,ct_region
ct_contrast_agent,1,ct_contrast_agent___1
ct_contrast_agent,2,ct_contrast_agent___2
ct_contrast_agent,3,ct_contrast_agent___3
ct_contrast_agent_dose,,ct_contrast_agent_dose
ct_tube_voltage,,ct_tube_voltage
ct_tube_current,,ct_tube_current
ct_scan_report,,ct_scan_report
ct_scan_report_deidentified,,ct_scan_report_deidentified
ct_scan_impression,,ct_scan_impression
ct_scan_deid,,ct_scan_deid
ct_recist_score,,ct_recist_score
ct_file_path,,ct_file_path
radiology_ct_scans_complete,,radiology_ct_scans_complete
mri_radiologist_name,,mri_radiologist_name
mri_accession_number,,mri_accession_number
mri_acquisition_date,,mri_acquisition_date
mri_acquisition_location,,mri_acquisition_location
mri_order_group,,mri_order_group
mri_region,,mri_region
mri_slice_thickness,,mri_slice_thickness
mri_pulse_sequence,,mri_pulse_sequence
mri_tube_voltage,,mri_tube_voltage
mri_tube_current,,mri_tube_current
mri_inversion_time,,mri_inversion_time
mri_echo_time,,mri_echo_time
mri_scan_report,,mri_scan_report
mri_scan_report_deidentified,,mri_scan_report_deidentified
mri_scan_impression,,mri_scan_impression
mri_birads_text,,mri_birads_text
mri_birads_score,,mri_birads_score
mri_scan_deid,,mri_scan_deid
mri_file_path,,mri_file_path
radiology_mri_scans_complete,,radiology_mri_scans_complete
pet_radiologist_name,,pet_radiologist_name
pet_accession_number,,pet_accession_number
pet_acquisition_date,,pet_acquisition_date
pet_acquisition_location,,pet_acquisition_location
pet_order_group,,pet_order_group
pet_region,,pet_region
pet_scan_report,,pet_scan_report
pet_scan_report_deidentified,,pet_scan_report_deidentified
pet_scan_impression,,pet_scan_impression
pet_scan_deid,,pet_scan_deid
pet_file_path,,pet_file_path
radiology_pet_scans_complete,,radiology_pet_scans_complete
